Region,01/24/2020,01/30/2020,01/31/2020,02/2/2020,02/5/2020,02/6/2020,02/7/2020,02/16/2020,02/19/2020,02/20/2020,02/21/2020,02/22/2020,02/23/2020,02/26/2020,02/24/2020,02/25/2020,02/27/2020,02/28/2020,02/29/2020,03/1/2020,03/2/2020,03/3/2020,03/4/2020,03/5/2020,03/6/2020,03/7/2020,03/8/2020,03/9/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020,03/20/2020,03/21/2020,03/22/2020,03/23/2020,03/24/2020,03/25/2020,03/26/2020,03/27/2020,03/28/2020,03/29/2020,03/30/2020,03/31/2020,04/01/2020,04/02/2020,04/3/2020,04/04/2020,04/05/2020,04/06/2020,04/07/2020,04/08/2020,04/09/2020,04/10/2020,04/11/2020,04/12/2020,04/13/2020,04/14/2020,04/15/2020,04/16/2020,04/17/2020,04/18/2020,04/19/2020,04/20/2020,04/21/2020,04/24/2020,04/27/2020,04/30/2020,05/01/2020,05/02/2020,05/08/2020,05/09/2020,05/9/2020,05/10/2020,05/11/2020,05/12/2020,05/13/2020,05/14/2020,05/15/2020,05/16/2020,05/17/2020,05/18/2020,05/19/2020,05/20/2020,05/21/2020,05/22/2020,05/23/2020,05/24/2020,05/25/2020,05/26/2020,05/27/2020,05/28/2020,05/29/2020,05/30/2020,05/31/2020,06/01/2020,06/02/2020,06/03/2020,06/04/2020,06/05/2020,06/06/2020,06/07/2020,06/08/2020,06/09/2020,06/10/2020,06/11/2020,06/12/2020,06/13/2020,06/14/2020,06/15/2020,06/16/2020,06/17/2020,06/18/2020,06/19/2020,06/20/2020,06/21/2020,06/22/2020,06/23/2020,06/24/2020,06/25/2020,06/26/2020,06/27/2020,06/28/2020,06/29/2020,06/30/2020,07/01/2020,07/02/2020,07/03/2020,07/04/2020,07/05/2020,07/06/2020,07/07/2020,07/08/2020,07/09/2020,07/10/2020,07/11/2020,07/12/2020,07/13/2020,07/14/2020,07/15/2020,07/16/2020,07/17/2020,07/18/2020,07/19/2020,07/20/2020,07/21/2020,07/22/2020,07/23/2020,07/24/2020,07/25/2020,07/26/2020,07/27/2020,07/28/2020,07/29/2020,07/30/2020,07/31/2020,08/1/2020,08/2/2020,08/3/2020,08/4/2020,08/5/2020,08/6/2020,08/7/2020,08/8/2020,08/9/2020,08/10/2020,08/11/2020,08/12/2020,08/13/2020,08/14/2020,08/15/2020,08/16/2020,08/17/2020,08/18/2020,08/19/2020,08/20/2020,08/21/2020,08/22/2020,08/23/2020,08/24/2020,08/25/2020,08/26/2020,08/27/2020,08/28/2020,08/29/2020,09/01/2020,08/30/2020,08/31/2020,09/02/2020,09/03/2020,09/04/2020,09/05/2020,09/06/2020,09/07/2020,09/08/2020,09/09/2020,09/10/2020,09/11/2020,09/12/2020,09/13/2020,09/14/2020,09/15/2020,09/16/2020,09/17/2020,09/18/2020,09/19/2020,09/20/2020,09/21/2020,09/22/2020,09/23/2020,09/24/2020,09/25/2020,09/26/2020,09/27/2020,09/28/2020,09/29/2020,09/30/2020,10/01/2020,10/02/2020,10/03/2020,10/04/2020,10/05/2020,10/06/2020,10/07/2020,10/08/2020,10/09/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/01/2020,11/02/2020,11/03/2020,11/04/2020,11/05/2020,11/06/2020,11/07/2020,11/08/2020,11/09/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,08/25/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/01/2020,12/02/2020,12/03/2020,12/04/2020,12/05/2020,12/06/2020,12/07/2020,12/08/2020,12/09/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021
강서구,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,6,10,13,13,13,13,14,15,15,15,16,17,18,19,19,21,22,22,22,22,22,22,22,22,22,22,23,24,24,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,28,28,29,30,30,31,31,31,31,31,32,32,32,32,32,32,32,33,36,40,44,44,46,46,48,51,53,55,56,58,60,63,63,63,66,68,70,70,70,70,72,74,75,76,77,78,78,78,79,79,79,79,79,79,79,79,79,79,79,80,80,80,81,82,82,82,82,82,82,82,82,82,83,93,96,96,98,102,102,103,103,103,103,104,104,106,107,109,109,109,109,110,110,110,110,110,113,115,117,123,128,131,133,137,151,158,163,169,172,182,194,198,202,208,213,217,224,228,229,229,232,233,238,238,240,245,248,248,250,251,254,258,259,261,263,263,267,273,277,280,281,283,283,283,283,283,283,285,285,285,286,286,286,286,286,289,290,292,292,292,292,293,293,293,293,294,294,294,295,296,298,298,298,299,302,304,305,308,308,310,312,313,315,319,323,330,335,337,344,353,360,369,373,373,385,388,395,401,403,407,414,423,481,537,563,578,593,608,613,631,656,679,695,706,727,751,762,792,869,917,951,983,1008,1032,1060,1090,1119,1135,1153,1175,1208,1227,1260,1284,1292,1303,1319,1331,1337,1350,1362,1376,1380,1402,1416,1425,1434,1437,1441,1444
중랑구,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,5,5,5,5,5,5,6,8,8,8,10,10,11,13,13,13,13,13,13,14,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,21,21,21,23,26,27,27,27,28,28,29,30,30,30,30,31,31,32,33,33,33,33,33,34,34,35,40,40,41,42,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,46,54,59,68,77,81,88,90,95,103,116,121,125,129,133,140,146,148,154,156,162,166,169,169,173,173,173,174,174,175,176,176,177,180,181,182,183,184,185,186,186,187,187,188,188,188,188,189,189,190,191,191,192,193,193,193,194,194,195,195,198,198,199,200,200,200,202,202,202,203,204,204,205,207,208,209,209,210,210,210,210,210,211,211,211,211,211,212,213,213,217,218,219,222,223,223,225,225,228,229,232,236,242,247,254,265,276,284,289,293,301,322,342,350,359,373,395,413,423,439,452,473,481,485,497,511,529,551,562,580,598,612,626,634,656,672,699,732,759,780,799,807,810,824,835,842,852,861,865,872,878,889
종로구,0,1,3,3,3,3,3,5,6,9,9,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,13,13,13,13,13,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,24,25,25,25,25,25,25,26,27,27,27,27,27,28,28,28,28,28,28,29,29,29,29,29,29,29,30,30,30,30,31,31,31,31,33,33,37,41,44,46,47,49,50,54,56,59,59,63,65,65,67,67,67,67,67,67,69,69,76,79,81,82,82,83,84,84,84,84,84,84,84,86,86,87,88,88,88,88,88,88,89,89,89,89,89,89,89,89,89,90,90,91,92,92,92,94,94,94,94,94,94,94,94,94,94,94,95,95,95,95,95,95,97,98,98,98,98,98,98,98,98,98,98,98,100,100,102,102,103,104,107,109,112,115,116,117,118,120,124,125,126,126,128,131,135,140,144,149,152,155,158,160,164,171,173,175,184,195,209,242,259,289,303,317,324,332,341,353,361,370,374,387,397,407,412,415,420,432,437,439,443,452,456,462
마포구,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,6,7,8,8,8,9,10,13,13,13,13,13,13,13,13,14,14,15,15,17,18,18,18,19,19,19,19,22,22,22,22,22,22,22,22,22,22,22,22,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,27,27,27,27,27,27,28,29,29,30,30,30,31,31,31,31,31,31,31,32,32,33,34,34,34,34,34,34,34,34,35,35,38,39,39,40,40,41,41,41,45,45,45,45,45,47,47,47,47,47,48,48,48,48,48,48,48,48,49,50,51,52,52,52,53,53,53,54,54,54,56,57,58,59,59,59,59,59,65,65,69,72,80,82,84,92,96,99,100,107,111,123,125,128,129,130,133,135,136,140,142,142,145,145,146,146,146,146,148,149,150,151,153,154,154,155,160,160,160,160,160,160,160,161,161,162,164,166,167,167,167,168,168,168,169,172,174,175,177,177,177,178,179,180,180,180,180,180,181,181,183,183,183,183,186,187,188,189,189,189,189,189,190,190,191,191,193,195,198,199,202,203,209,209,211,215,218,224,230,244,251,261,266,268,275,282,287,293,298,304,327,342,346,354,364,373,385,393,406,422,432,441,460,490,504,514,530,543,553,582,604,625,638,653,663,672,677,688,695,702,707,715,720,725,731,738,747,750,753,762
성북구,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,6,6,6,6,6,8,9,9,9,9,9,9,11,11,12,12,13,13,13,13,14,15,15,15,15,15,15,15,15,16,18,18,20,20,21,21,21,21,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,26,26,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,30,30,31,31,31,31,31,31,32,32,32,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,36,37,37,38,38,38,38,38,38,38,39,40,40,40,40,40,40,40,40,41,42,42,42,42,43,44,45,45,46,48,51,51,51,51,53,60,76,114,133,155,175,192,202,209,223,231,242,245,256,263,269,276,280,284,290,292,293,295,298,300,305,306,307,307,308,311,313,314,316,317,318,319,320,320,320,323,323,326,327,329,329,333,333,333,334,334,334,334,334,334,334,334,335,335,335,336,336,337,339,341,342,343,344,344,344,344,345,345,346,346,347,347,347,350,350,352,352,353,354,357,360,363,363,363,364,367,369,373,379,386,390,390,397,404,412,416,421,424,426,432,439,443,446,453,457,464,467,480,488,499,509,513,517,522,527,533,550,567,578,586,602,611,631,647,655,667,683,698,709,722,734,746,756,770,790,806,813,823,831,840,848,862,878,894,900,906,908,910
송파구,0,0,0,0,1,1,1,1,1,1,1,1,3,3,5,9,12,12,12,12,12,12,12,12,12,12,12,12,13,14,15,15,15,15,15,16,16,18,18,18,18,19,19,19,21,22,23,24,25,27,28,29,32,35,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,39,39,40,41,42,42,44,44,45,45,45,45,45,45,45,45,45,46,47,48,48,48,49,49,49,49,50,50,50,50,50,51,51,51,51,51,51,52,52,52,52,52,53,53,53,53,53,53,54,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,57,58,60,63,65,68,68,69,74,79,90,93,95,96,96,98,98,99,99,99,99,100,101,101,101,101,101,102,102,102,102,102,108,114,123,133,144,158,170,182,187,192,199,205,214,230,244,256,257,258,261,263,263,269,272,274,280,281,284,288,294,298,304,307,313,318,323,325,328,328,329,331,333,334,335,337,338,338,338,340,340,340,340,340,340,341,341,342,345,348,350,350,350,351,353,356,359,359,359,361,361,364,365,367,369,374,378,382,391,392,401,406,409,415,424,432,432,434,438,439,444,448,452,454,465,478,487,487,493,501,512,521,537,546,551,557,573,583,593,599,604,611,625,648,674,686,698,714,717,727,739,747,758,787,795,808,830,855,884,904,909,921,928,949,976,989,1015,1038,1055,1071,1092,1109,1123,1132,1143,1151,1162,1181,1189,1205,1220,1230,1240,1244
서대문구,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8,8,10,12,12,12,12,12,12,12,13,13,13,14,14,15,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,19,19,19,19,20,20,20,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,23,25,26,27,27,28,30,30,30,30,30,30,31,31,31,31,31,31,32,33,33,33,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,37,38,38,38,38,38,38,38,38,39,39,39,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,43,43,43,43,44,47,48,48,49,52,56,56,62,63,65,69,70,79,81,86,91,94,95,96,96,97,100,102,103,105,106,108,112,113,114,114,115,118,121,122,123,123,125,125,125,125,125,125,125,126,126,126,127,127,127,127,127,127,127,131,131,131,131,131,131,132,133,133,133,135,135,135,135,135,136,136,137,137,137,137,137,137,137,137,137,137,144,149,150,153,162,165,165,166,168,169,171,176,177,182,182,182,187,191,203,211,217,219,226,228,229,243,251,258,261,270,279,289,292,295,303,308,318,327,334,342,357,359,369,379,389,404,410,420,432,445,454,463,468,476,478,482,487,494,505,514,524,528,530,537,547,561,572,579,591,597,599
성동구,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,10,12,12,12,16,18,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,21,22,22,22,22,22,22,22,22,22,22,22,22,23,26,34,37,39,40,40,40,40,41,41,41,42,44,46,46,47,47,47,47,47,47,47,47,47,47,47,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,52,53,53,55,56,56,57,57,57,57,57,57,57,57,57,57,57,57,57,59,60,61,61,61,61,62,63,63,64,65,66,66,68,68,72,75,76,78,80,81,85,85,85,87,89,90,92,93,95,100,101,101,103,103,104,105,106,108,108,109,109,110,110,111,112,114,115,115,117,117,117,117,117,117,117,121,122,123,123,123,123,124,125,128,128,128,128,128,128,129,129,129,129,129,129,130,130,131,131,131,131,132,134,134,136,138,139,139,140,144,145,145,151,160,165,165,165,167,169,169,170,173,176,176,183,188,190,193,197,198,202,204,211,217,218,220,221,223,225,233,240,247,254,254,260,261,267,276,289,304,312,317,332,354,360,366,371,380,386,396,402,405,411,419,433,434,442,449,457,466,466,474,478,482,486,490,491,496,500,514
강남구,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,5,7,8,10,10,10,10,10,12,12,13,13,13,13,14,14,15,15,15,15,17,18,18,18,18,19,20,24,28,30,35,39,40,44,44,44,49,51,51,55,56,57,58,60,60,60,60,60,60,61,62,63,63,63,63,63,65,65,65,65,65,66,66,70,70,70,70,71,72,72,72,72,73,73,73,73,73,73,73,73,73,73,75,75,76,76,77,78,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,80,80,80,81,81,82,82,82,83,83,83,83,83,84,84,85,85,85,85,85,87,88,89,89,91,91,91,91,92,93,93,93,93,96,96,96,96,97,97,97,97,98,98,98,98,98,98,98,98,101,101,101,101,102,102,102,107,110,111,113,119,124,129,134,141,146,151,157,160,164,168,172,181,184,196,199,203,207,211,212,214,216,217,218,222,225,229,236,237,243,247,253,257,259,259,260,262,263,266,266,268,268,268,269,270,270,271,272,272,274,274,277,277,277,278,279,282,283,283,283,285,287,289,292,297,299,302,304,305,309,317,324,335,343,357,359,361,363,366,369,372,376,377,379,380,385,388,390,393,395,395,395,399,405,409,421,430,435,452,466,477,482,490,496,508,520,536,549,560,571,582,595,605,621,642,657,680,695,706,724,737,754,768,780,796,811,822,833,838,847,858,876,896,906,921,932,937,940,944,955,963,970,984,992,1002,1011,1018,1027
서초구,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,4,4,4,5,5,5,5,5,6,6,6,6,6,7,9,9,9,9,9,9,9,11,12,12,12,13,16,17,18,22,22,24,25,27,29,31,31,31,31,34,36,36,36,36,36,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,40,40,40,40,40,40,40,40,41,41,41,42,42,42,42,42,42,42,42,42,42,44,44,44,44,44,44,44,45,45,46,47,47,48,49,49,50,51,52,53,54,54,54,54,54,54,55,55,56,56,57,57,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,63,64,64,64,64,64,66,66,68,68,68,69,70,72,76,84,86,86,87,93,96,102,106,113,114,119,124,126,129,135,138,142,142,147,149,154,156,157,157,161,162,163,166,168,168,170,172,175,177,179,181,183,184,186,186,187,192,194,194,194,194,196,196,196,197,197,197,198,200,201,203,203,203,204,204,204,205,207,207,207,207,209,210,210,213,214,214,218,219,221,224,228,230,235,237,238,239,242,242,245,246,251,257,261,262,266,268,271,274,284,284,292,301,319,335,348,363,389,409,417,429,442,450,461,472,490,503,520,535,547,561,571,580,590,602,617,630,635,638,649,664,679,691,696,716,726,734,739,745,759,771,782,795,812,820,825,833,842,846,850,861,868,871,878,881,884,888
