"특성별(1)","특성별(2)","교육 내용","교육 내용","교육 내용","교육 내용","교육 내용","교육 내용","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교육 방법(교사나 교수의 수업지도/평가)","교우 관계","교우 관계","교우 관계","교우 관계","교우 관계","교우 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","교사(교수)와의 관계","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교시설 및 설비","학교 주변 환경","학교 주변 환경","학교 주변 환경","학교 주변 환경","학교 주변 환경","학교 주변 환경","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","소질과 적성 개발","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전공(특목고/특성화고/대학(교)/대학원)","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활","전반적인 학교생활"
"군구별","중구","5.3","27.2","53","13","1.5","3.2","4.6","24.7","53.8","13.3","3.6","3.1","19","27.1","50.4","2.8","0.7","3.6","11","22.7","58.3","6.5","1.5","3.4","6","21.2","53.7","14.6","4.4","3.1","6.7","17.9","49.9","19","6.5","3","5.7","12.8","56.3","23","2.2","3","8.2","18.3","56.2","12.5","4.8","3.1","11.4","20.3","61.1","5","2.2","3.3"
"군구별","동구","14.9","26.8","44.8","11.8","1.7","3.4","14","19.8","54.8","6.8","4.7","3.3","25.2","40.9","33.9","0","0","3.9","16.5","29.4","46.5","7.6","0","3.6","11.2","20.9","46.2","16.5","5.2","3.2","10.8","13.8","42.8","25.6","7","3","10.8","15.1","60.2","9.2","4.7","3.2","10.2","22.1","52.8","12.1","2.8","3.3","16.6","21.5","56.9","4.2","0.9","3.5"
"군구별","미추홀구","12.4","39.3","39.4","6.4","2.5","3.5","7.8","37.6","44.5","7.9","2.1","3.4","28.1","38.3","31.1","2","0.6","3.9","14.4","31","49.3","4.8","0.6","3.5","9.3","26.7","46.1","16","1.8","3.3","7.4","26.6","43.9","16.4","5.7","3.1","9","24.6","49.3","13","4.1","3.2","7.5","29.8","51.4","8.4","2.9","3.3","11","33.1","51.9","2.9","1","3.5"
"군구별","연수구","12.8","28.7","49.8","7.5","1.2","3.5","12.2","30.7","43.6","12.1","1.4","3.4","27.6","40","28.9","2.6","0.8","3.9","15.4","37.6","41.7","4.7","0.7","3.6","14.8","26.6","41.2","14","3.3","3.4","11","28.3","44.5","12.2","4","3.3","9.1","24.9","51.6","11.2","3.2","3.3","10.4","26","53.2","8.9","1.4","3.4","13.2","33","47.9","5.9","0","3.5"
"군구별","남동구","14.7","39.6","35.3","6.4","4","3.6","9.9","37.7","42.1","8","2.3","3.5","31.1","34.7","30.5","2.7","0.9","3.9","16.7","37.3","41.3","2.3","2.5","3.6","11.9","28.5","46.4","8.6","4.7","3.3","10.7","24.3","46.9","12.1","6","3.2","10.5","23.5","48.3","13.6","4.1","3.2","11.1","28","47.7","11","2.3","3.4","11.7","40.2","43.3","3.6","1.1","3.6"
"군구별","부평구","11.9","44.6","34.4","7.9","1.2","3.6","12.7","37.1","36.6","12.4","1.2","3.5","24.5","48.7","24.4","2","0.4","4","15.5","43.7","33.9","6.1","0.8","3.7","13.1","32","35.6","16.9","2.3","3.4","12.4","29.8","36.5","16.9","4.4","3.3","8.6","31.3","36.3","19.3","4.6","3.2","11.3","33.4","42.1","11.4","1.7","3.4","14.2","38.1","42.3","5","0.4","3.6"
"군구별","계양구","10.2","35","47.5","5.7","1.6","3.5","12","27.4","48.7","8.7","3.2","3.4","28.9","34","35.4","0.4","1.2","3.9","14.7","30.2","49.5","4","1.7","3.5","9.4","26.5","47.5","13.7","2.9","3.3","8.5","19.1","45.2","24.2","2.9","3.1","8.8","19.7","55.2","14.6","1.7","3.2","11.1","23.2","48.3","15.8","1.5","3.3","14.3","31.2","49.8","3.5","1.2","3.5"
"군구별","서구","12.3","29.5","50.7","5.7","1.9","3.5","12.4","22.9","54.3","8.4","2","3.4","22.9","38.8","34.3","3.5","0.5","3.8","15.6","29.8","47.5","6.1","0.9","3.5","11","26.3","47.3","13.6","1.7","3.3","10.9","22.9","46.7","17.3","2.2","3.2","10","26.4","49.4","11.6","2.4","3.3","7.9","27.3","50.9","8.5","5.4","3.2","16.8","28.9","47.4","6.4","0.5","3.6"
"군구별","강화군","9.3","41.4","43.9","4.2","1.2","3.5","8.3","35.3","52","2.5","2","3.5","21.6","41.7","36.7","0","0","3.9","16.7","26.2","45.5","10.8","0.8","3.5","7.4","26","51","10","5.7","3.2","8.4","23.9","44.6","13.4","9.7","3.1","7.1","25.9","51.8","12.3","2.9","3.2","10.9","26","52","11.1","0","3.4","16.1","34.7","44.8","1.6","2.9","3.6"
"군구별","옹진군","32.6","37.1","24.1","6.1","0","4","35.9","25.8","32.2","6.1","0","3.9","54.8","32.6","12.6","0","0","4.4","50","19.1","30.9","0","0","4.2","20","24.3","49.9","5.8","0","3.6","18.2","22.9","46.6","6.1","6.1","3.4","7.7","43.7","42","6.6","0","3.5","8.5","48.8","37","5.7","0","3.6","33.4","36.8","26.9","2.9","0","4"
